Name,Social,Quiet hours
1,1.281788797,3.603344211
2,1.119336482,1.669644351
3,1.127581771,4.286353927
4,4.160941934,4.773492308
5,1.561638601,1.260118757
6,1.125859379,3.516757381
7,4.491392512,3.06123867
8,3.635850604,3.583855928
9,1.691294604,3.07122415
10,1.213669598,2.862843914
11,3.140509859,3.272215805
12,2.112456844,1.791457711
13,1.198851205,3.425895858
14,2.847113504,1.261098517
15,4.182260747,2.410315196
16,2.882843848,2.624840476
17,4.478251782,3.837165432
18,1.926464575,1.517674323
19,2.421538698,2.105030779
20,1.598801704,4.570397405
21,3.220843547,4.153723122
22,1.821279594,1.283373134
23,4.59278679,2.515734078
24,3.895809844,3.246464678
25,4.194712163,4.845805767
26,1.89324874,1.651051737
27,1.592039548,3.111837525
28,4.510021606,2.928107769
29,3.294582865,4.676286372
30,4.053874586,2.959990001
31,1.383839633,2.15796783
32,2.895018498,1.753342987
33,4.151071162,1.842514308
34,3.168573331,1.428540471
35,1.851358493,4.136092351
36,3.072232481,2.368768571
37,1.028503639,3.292331762
38,4.584274821,4.367620587
39,2.638375314,2.989885238
40,2.280333609,3.450800053
41,4.464222204,3.013464451
42,3.120959776,3.802024545
43,3.197923347,2.9598776
44,3.152813028,1.958948249
45,4.160231664,4.042165411
46,3.85820407,2.258699016
47,4.396355423,1.209208186
48,1.160139459,3.359903161
49,3.775995537,2.573540515
50,2.932626249,1.113584841
51,4.635867031,1.119895782
52,4.220305735,2.490833764
53,4.642749938,3.299963358
54,2.082416811,4.733923098
55,2.221379704,1.730771394
56,1.012803852,3.026110748
57,3.12787749,4.948965215
58,1.483091584,4.074332056
59,1.212191194,2.802720372
60,4.320153565,1.546295097
61,3.113686002,1.385265502
62,2.334519137,2.400500546
63,1.643687657,3.019149357
64,1.449084531,3.822893141
65,3.87317984,3.791946928
66,3.39254124,4.925097858
67,2.837094565,4.224412535
68,3.928055089,2.507849294
69,4.549688293,4.516844069
70,3.224623152,3.251633102
71,4.971496362,1.774425135
72,3.85919748,2.4902367
73,2.157469357,4.339463025
74,4.999254501,1.473379798
75,2.972697701,4.361627948
76,2.335062428,4.691517947
77,3.638676661,4.520457434
78,2.162611363,4.216878558
79,2.678732778,1.193975708
80,2.406572081,1.79610952
