Name,Social,Quiet hours,Shared Bathrooms
1,1.037775973,3.26923271,4.116390209
2,4.828514255,4.790478079,3.327331819
3,3.001358424,4.741027151,2.925220299
4,1.512091754,3.862834591,3.881819817
5,2.117841048,1.567380906,3.570496677
6,4.20962998,1.47908481,4.125100556
7,1.751254715,2.670042649,4.134783853
8,4.664853457,1.225425965,2.851896309
9,1.040704779,2.793984399,3.645739452
10,4.323185796,3.597937962,1.116957833
11,1.993141735,3.978547996,1.693225865
12,1.012657562,3.23573018,1.481627917
13,3.069603034,1.670753936,2.943443893
14,2.849899608,2.568898138,4.801432541
15,2.413830757,2.294503593,1.601042677
16,4.452834787,2.144585229,1.394064563
17,4.463615264,3.830657191,2.96164569
18,1.431736978,3.799665675,3.855350992
19,1.715037168,1.898890335,4.650353617
20,1.370792461,2.507034149,4.741477078
21,4.445717589,2.484908224,2.690106375
22,4.432926065,4.338205299,2.202115286
23,3.411803922,3.911247877,1.805765479
24,4.365585654,2.651565346,4.752666543
25,3.48678017,1.817103655,3.711964446
26,3.812009867,3.309492335,4.411865184
27,3.704019479,3.280337854,4.657659259
28,2.523476233,4.555744841,4.478719196
29,1.011930711,1.096944704,1.163875448
30,1.970656348,1.123532772,3.605713264
31,3.225083228,2.013683213,2.96288863
32,4.765338418,4.544716095,3.932347667
33,1.584913793,1.642391089,4.894057908
34,4.294653296,2.229589753,2.900519094
35,3.740496279,3.119291537,3.254892814
36,3.466780679,2.268525859,2.528057609
37,1.580907329,4.195704592,2.505888942
38,3.735634924,4.811603755,4.040399092
39,2.384587466,4.668023716,3.380594713
40,2.044835534,1.647932846,4.407747592
41,2.611189956,1.352377503,1.466250377
42,4.489879077,1.709713196,1.896436305
43,3.858513053,2.237028839,4.017809375
44,1.089312517,4.605654404,1.1189722
45,3.741421741,2.213306052,1.244199511
46,4.225617108,4.162697887,2.365123654
47,1.305511972,3.690332923,2.658627294
48,4.348541517,1.145866663,4.066612651
49,3.667357398,2.423629359,3.897321722
50,3.705289838,4.655709927,3.102403403
51,1.202133355,4.519538558,1.945880139
52,2.914231139,3.796047682,2.564954587
53,4.263749806,3.661047294,3.93111632
54,2.63514094,1.064997008,1.143477724
55,2.452919443,4.767244573,2.240583332
56,1.953537707,4.404173737,4.956540631
57,3.178246379,3.223287582,1.205498088
58,1.287375484,1.893454127,1.319701328
59,4.067983931,4.949908407,4.581241288
60,3.870333577,1.723600373,2.215945
61,2.934919769,4.503363216,2.437122527
62,2.503529381,2.353994126,3.29987053
63,2.153070141,3.740757318,2.869121104
64,3.091412289,3.901082383,2.839575414
65,1.828584385,4.242694348,1.405332238
66,2.598316711,3.898556983,2.812497699
67,3.864786961,4.209646679,3.791909109
68,2.57658484,1.79804995,4.850222823
69,1.958561282,3.722783514,3.558223324
70,3.040572252,4.393432571,3.171530095
71,3.388992143,1.482557764,2.48452629
72,2.40547727,4.596100315,3.024095861
73,1.175318465,3.763444602,1.375913333
74,3.188204718,3.211947672,4.181303747
75,2.366382396,3.018739996,4.584042216
76,1.199080451,4.499978447,4.420017183
77,1.549259964,4.744121295,3.960400903
78,4.737004905,4.781005525,3.24787843
79,3.549011206,1.244160622,4.261585364
80,3.034080852,3.129396355,2.362063073
