Name,Social,Quiet hours,Shared Bathrooms,Sports
1,4,4,4,4
2,3,2,5,2
3,3,5,2,2
4,3,2,3,3
5,2,2,3,5
6,4,2,5,2
7,3,3,1,2
8,2,4,2,3
9,3,3,5,3
10,3,4,2,5
11,5,2,2,3
12,4,2,2,3
13,3,3,4,3
14,5,2,2,2
15,4,4,5,5
16,2,2,2,4
17,1,4,5,4
18,4,4,5,5
19,3,2,1,4
20,3,5,2,2
21,4,2,3,2
22,5,4,3,1
23,3,3,5,1
24,1,5,2,2
25,2,1,2,5
26,1,4,3,2
27,3,4,3,3
28,4,1,5,4
29,3,2,3,2
30,4,4,2,4
31,1,2,4,3
32,3,1,3,1
33,4,1,5,4
34,1,4,4,2
35,2,5,5,2
36,5,2,3,2
37,4,4,4,2
38,4,5,2,3
39,5,2,2,1
40,4,3,5,4
41,4,4,4,2
42,2,1,4,2
43,4,2,3,1
44,2,3,3,1
45,3,3,4,4
46,3,1,2,3
47,3,2,5,2
48,1,4,3,5
49,3,5,2,1
50,2,3,5,3
51,1,2,1,3
52,3,3,1,3
53,2,3,1,4
54,3,3,4,3
55,3,5,4,2
56,4,1,4,3
57,4,4,2,2
58,1,4,2,3
59,3,3,3,4
60,3,4,2,3
61,2,4,5,2
62,3,1,5,1
63,4,3,2,1
64,2,1,3,4
65,1,4,2,2
66,2,3,2,3
67,4,4,2,2
68,3,3,3,1
69,1,3,5,4
70,2,4,5,3
71,3,2,4,2
72,4,2,2,3
73,4,5,3,2
74,4,4,3,3
75,2,2,2,4
76,4,2,2,5
77,3,2,4,2
78,4,5,5,2
79,4,2,2,2
80,5,5,5,4
