Name,Social,Quiet hours
1,1.037775973,3.26923271
2,4.828514255,4.790478079
3,3.001358424,4.741027151
4,1.512091754,3.862834591
5,2.117841048,1.567380906
6,4.20962998,1.47908481
7,1.751254715,2.670042649
8,4.664853457,1.225425965
9,1.040704779,2.793984399
10,4.323185796,3.597937962
11,1.993141735,3.978547996
12,1.012657562,3.23573018
13,3.069603034,1.670753936
14,2.849899608,2.568898138
15,2.413830757,2.294503593
16,4.452834787,2.144585229
17,4.463615264,3.830657191
18,1.431736978,3.799665675
19,1.715037168,1.898890335
20,1.370792461,2.507034149
21,4.445717589,2.484908224
22,4.432926065,4.338205299
23,3.411803922,3.911247877
24,4.365585654,2.651565346
25,3.48678017,1.817103655
26,3.812009867,3.309492335
27,3.704019479,3.280337854
28,2.523476233,4.555744841
29,1.011930711,1.096944704
30,1.970656348,1.123532772
31,3.225083228,2.013683213
32,4.765338418,4.544716095
33,1.584913793,1.642391089
34,4.294653296,2.229589753
35,3.740496279,3.119291537
36,3.466780679,2.268525859
37,1.580907329,4.195704592
38,3.735634924,4.811603755
39,2.384587466,4.668023716
40,2.044835534,1.647932846
41,2.611189956,1.352377503
42,4.489879077,1.709713196
43,3.858513053,2.237028839
44,1.089312517,4.605654404
45,3.741421741,2.213306052
46,4.225617108,4.162697887
47,1.305511972,3.690332923
48,4.348541517,1.145866663
49,3.667357398,2.423629359
50,3.705289838,4.655709927
51,1.202133355,4.519538558
52,2.914231139,3.796047682
53,4.263749806,3.661047294
54,2.63514094,1.064997008
55,2.452919443,4.767244573
56,1.953537707,4.404173737
57,3.178246379,3.223287582
58,1.287375484,1.893454127
59,4.067983931,4.949908407
60,3.870333577,1.723600373
61,2.934919769,4.503363216
62,2.503529381,2.353994126
63,2.153070141,3.740757318
64,3.091412289,3.901082383
65,1.828584385,4.242694348
66,2.598316711,3.898556983
67,3.864786961,4.209646679
68,2.57658484,1.79804995
69,1.958561282,3.722783514
70,3.040572252,4.393432571
71,3.388992143,1.482557764
72,2.40547727,4.596100315
73,1.175318465,3.763444602
74,3.188204718,3.211947672
75,2.366382396,3.018739996
76,1.199080451,4.499978447
77,1.549259964,4.744121295
78,4.737004905,4.781005525
79,3.549011206,1.244160622
80,3.034080852,3.129396355
