Name,Social,Quiet hours
1,Yes,No
2,No,Yes
3,No,Yes
4,No,Yes
5,Yes,Yes
6,Yes,No
7,Yes,No
8,Yes,Yes
9,No,No
10,Yes,Yes
11,No,Yes
12,Yes,Yes
13,Yes,No
14,Yes,Yes
15,No,Yes
16,Yes,Yes
17,Yes,No
18,Yes,Yes
19,Yes,No
20,Yes,Yes
21,Yes,No
22,Yes,Yes
23,Yes,Yes
24,No,No
25,Yes,Yes
26,No,Yes
27,No,Yes
28,Yes,Yes
29,Yes,No
30,No,No
31,Yes,No
32,Yes,No
33,No,Yes
34,Yes,Yes
35,No,Yes
36,No,No
37,Yes,Yes
38,Yes,No
39,No,Yes
40,No,No
41,No,No
42,No,Yes
43,No,Yes
44,No,Yes
45,Yes,Yes
46,Yes,Yes
47,Yes,Yes
48,Yes,Yes
49,No,No
50,Yes,Yes
51,Yes,Yes
52,Yes,No
53,Yes,No
54,No,No
55,No,Yes
56,No,Yes
57,Yes,Yes
58,No,No
59,Yes,Yes
60,No,Yes
61,No,No
62,Yes,No
63,Yes,No
64,Yes,No
65,Yes,No
66,No,Yes
67,Yes,No
68,Yes,Yes
69,No,No
70,No,Yes
71,No,No
72,No,Yes
73,Yes,Yes
74,No,No
75,No,Yes
76,No,Yes
77,No,No
78,Yes,Yes
79,No,No
80,No,Yes
