Name,Social,Quiet hours,Shared Bathrooms
1,Yes,No,No
2,No,Yes,Yes
3,No,Yes,Yes
4,No,Yes,Yes
5,Yes,Yes,No
6,Yes,No,No
7,Yes,No,No
8,Yes,Yes,No
9,No,No,Yes
10,Yes,Yes,No
11,No,Yes,No
12,Yes,Yes,No
13,Yes,No,Yes
14,Yes,Yes,Yes
15,No,Yes,No
16,Yes,Yes,No
17,Yes,No,Yes
18,Yes,Yes,Yes
19,Yes,No,Yes
20,Yes,Yes,No
21,Yes,No,No
22,Yes,Yes,Yes
23,Yes,Yes,Yes
24,No,No,Yes
25,Yes,Yes,No
26,No,Yes,No
27,No,Yes,Yes
28,Yes,Yes,Yes
29,Yes,No,Yes
30,No,No,No
31,Yes,No,Yes
32,Yes,No,Yes
33,No,Yes,Yes
34,Yes,Yes,Yes
35,No,Yes,No
36,No,No,Yes
37,Yes,Yes,Yes
38,Yes,No,No
39,No,Yes,No
40,No,No,No
41,No,No,No
42,No,Yes,No
43,No,Yes,No
44,No,Yes,No
45,Yes,Yes,No
46,Yes,Yes,No
47,Yes,Yes,Yes
48,Yes,Yes,Yes
49,No,No,No
50,Yes,Yes,Yes
51,Yes,Yes,No
52,Yes,No,No
53,Yes,No,No
54,No,No,Yes
55,No,Yes,No
56,No,Yes,No
57,Yes,Yes,Yes
58,No,No,Yes
59,Yes,Yes,No
60,No,Yes,Yes
61,No,No,Yes
62,Yes,No,Yes
63,Yes,No,No
64,Yes,No,Yes
65,Yes,No,Yes
66,No,Yes,No
67,Yes,No,Yes
68,Yes,Yes,Yes
69,No,No,No
70,No,Yes,No
71,No,No,No
72,No,Yes,No
73,Yes,Yes,Yes
74,No,No,No
75,No,Yes,No
76,No,Yes,Yes
77,No,No,Yes
78,Yes,Yes,No
79,No,No,Yes
80,No,Yes,Yes
